store,product,date,actuals,lr_0.1,lr_0.001
1,1001,13-03-2016,3,1.28399086,2.799064398
1,1001,14-03-2016,3,1.293414712,2.355070353
1,1001,15-03-2016,0,2.295246363,3.383280754
1,1001,16-03-2016,2,3.664990425,3.696472168
1,1001,17-03-2016,2,3.668401718,3.629523039
1,1001,18-03-2016,6,3.66877389,3.981778145
1,1001,19-03-2016,5,3.668766499,5.646671772
1,1001,20-03-2016,1,2.450652599,2.237826586
1,1001,21-03-2016,4,3.420425415,3.058034897
1,1001,22-03-2016,6,3.614325523,3.014727831
1,1001,23-03-2016,5,3.668775559,3.934668541
1,1001,24-03-2016,4,3.66865015,4.303064346
1,1001,25-03-2016,15,3.667719841,3.297354698
1,1001,26-03-2016,10,3.668191433,5.589579105
1,1001,27-03-2016,2,1.196690083,2.383924246
1,1001,28-03-2016,0,1.4965415,2.545616627
1,1001,29-03-2016,2,2.377494812,2.709024191
1,1001,30-03-2016,4,3.643121004,4.177793026
1,1001,31-03-2016,3,3.004225016,3.42700243
1,1001,01-04-2016,3,3.287432194,4.619832039
1,1001,02-04-2016,4,2.966365576,6.115769863
1,1001,03-04-2016,1,1.124835968,2.489570141
1,1001,04-04-2016,0,2.897107124,3.070449829
1,1001,05-04-2016,1,3.620745659,3.666217327
1,1001,06-04-2016,4,3.634364605,3.479275465
1,1001,07-04-2016,3,3.601173401,2.631795883
1,1001,08-04-2016,7,3.668540955,4.021757603
1,1001,09-04-2016,4,3.668651581,5.450583458
5,1003,13-03-2016,33,80.15374756,38.37014389
5,1003,14-03-2016,74,92.61660767,70.88516235
5,1003,15-03-2016,83,119.4295044,75.3468399
5,1003,16-03-2016,66,126.8865433,78.2527771
5,1003,17-03-2016,78,116.7668076,81.79320526
5,1003,18-03-2016,66,71.96411896,73.32784271
5,1003,19-03-2016,93,29.74721718,78.43671417
5,1003,20-03-2016,50,13.98274422,43.52916336
5,1003,21-03-2016,63,20.08061409,79.20957184
5,1003,22-03-2016,69,26.25575829,79.44557953
5,1003,23-03-2016,63,26.86706734,79.49384308
5,1003,24-03-2016,88,19.26665497,87.689888
5,1003,25-03-2016,85,21.38625145,83.33992004
5,1003,26-03-2016,61,23.7456646,89.336586
5,1003,27-03-2016,37,16.21212959,45.60546875
5,1003,28-03-2016,72,24.37737274,76.83452606
5,1003,29-03-2016,76,27.53523636,85.83771515
5,1003,30-03-2016,74,29.83048058,85.15261078
5,1003,31-03-2016,66,29.7360878,92.15484619
5,1003,01-04-2016,100,20.37878037,83.59564209
5,1003,02-04-2016,69,7.073092461,79.85865021
5,1003,03-04-2016,31,-2.795830488,49.31106186
5,1003,04-04-2016,58,11.07655811,76.93138123
5,1003,05-04-2016,72,14.67253876,81.90266418
5,1003,06-04-2016,83,19.35784531,83.81996155
5,1003,07-04-2016,70,15.50802708,85.17966461
5,1003,08-04-2016,66,13.72207642,86.49939728
5,1003,09-04-2016,81,-2.87452507,79.53192139
9,1002,13-03-2016,623,899.56604,494.8475037
9,1002,14-03-2016,808,899.5666504,856.8591919
9,1002,15-03-2016,919,899.5666504,873.6001587
9,1002,16-03-2016,930,899.5666504,841.3613281
9,1002,17-03-2016,1000,899.5666504,894.5967407
9,1002,18-03-2016,884,899.5666504,841.3902588
9,1002,19-03-2016,940,899.5666504,879.1473999
9,1002,20-03-2016,367,899.5664063,468.3215942
9,1002,21-03-2016,829,899.5666504,836.404541
9,1002,22-03-2016,865,899.5666504,879.8640747
9,1002,23-03-2016,882,899.5666504,910.7997437
9,1002,24-03-2016,830,899.5666504,926.2750244
9,1002,25-03-2016,930,899.5666504,921.9486694
